City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Saint George,US,81.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
19,Faanui,PF,79.47,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
32,Saint-Francois,FR,82.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
33,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
37,Hilo,US,85.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
41,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Hamilton,US,79.81,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
50,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
51,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
54,Asyut,EG,84.38,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
55,Shelbyville,US,86.49,clear sky,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
59,Isangel,VU,75.25,scattered clouds,-19.55,169.2667,Tanna Lodge
60,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,Thompson,CA,80.76,few clouds,55.7435,-97.8558,Burntwood Hotel
81,Gigmoto,PH,80.28,overcast clouds,13.7796,124.39,Cj's Travellers Inn
85,Eydhafushi,MV,82.54,broken clouds,5.1033,73.0708,Soneva Fushi
87,Lorengau,PG,80.08,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
90,Sumenep,ID,79.41,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
99,Show Low,US,75.65,few clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
104,Bandarbeyla,SO,77.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
105,Muscat,OM,89.42,clear sky,23.6139,58.5922,Mutrah Hotel
107,Atuona,PF,77.65,few clouds,-9.8,-139.0333,Villa Enata
110,Hami,CN,79.02,overcast clouds,42.8,93.45,Laoyutang Resort
112,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,Waynesville,US,83.75,clear sky,35.4887,-82.9887,Best Western Smoky Mountain Inn
119,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Cititel Penang
120,Hithadhoo,MV,83.52,broken clouds,-0.6,73.0833,Scoop Guest House
121,Butaritari,KI,81.3,moderate rain,3.0707,172.7902,Isles Sunset Lodge
122,Mundo Nuevo,MX,76.3,overcast clouds,18.7,-95.5,
132,Mitsamiouli,KM,78.22,clear sky,-11.3847,43.2844,Foyer ADM
135,Abuyog,PH,75.6,broken clouds,10.6667,125.05,NashBliss Apartelle
136,Kapaa,US,81.48,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
137,Iralaya,HN,77.79,overcast clouds,15.0,-83.2333,Iglesia morava renovada
138,Ahuimanu,US,83.35,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
139,Jiazi,CN,79.47,overcast clouds,22.8779,116.067,Hotel Jin Hao
150,Balkanabat,TM,82.9,clear sky,39.5108,54.3671,Nebitchi Hotel
153,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
156,Cayenne,GF,82.44,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
157,Tual,ID,79.05,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
158,Pesaro,IT,75.94,clear sky,43.9036,12.8903,Savoy
159,Cururupu,BR,75.52,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
161,Ipixuna,BR,77.76,overcast clouds,-1.7625,-48.8043,Chalé do Mato
164,Hirara,JP,82.78,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
166,Kavieng,PG,80.06,moderate rain,-2.5744,150.7967,Nusa Island Retreat
167,Puerto Santander,CO,85.41,overcast clouds,8.3636,-72.4063,Hotel Toronto
171,Ugoofaaru,MV,82.49,scattered clouds,5.6667,73.0,Ungoofaaru Inn
172,Yuncheng,CN,76.66,clear sky,35.0231,110.9928,晋州快捷酒店
177,Sola,VU,78.82,few clouds,-13.8833,167.55,Leumerus Bungalows
179,Labuhan,ID,76.28,broken clouds,-6.8844,112.2051,DoubleFAG
182,Cocoa Beach,US,87.12,broken clouds,28.32,-80.6076,La Quinta Inn by Wyndham Cocoa Beach-Port Canaveral
183,Chake Chake,TZ,75.54,overcast clouds,-5.2459,39.7666,Hotel Archipelago
185,Mogadishu,SO,78.87,few clouds,2.0371,45.3438,Hotel Juba
186,Florence,IT,80.28,clear sky,43.7667,11.25,Hotel Nuova Italia
187,Vanimo,PG,75.67,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
188,Progreso,MX,88.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
189,Yangjiang,CN,79.93,heavy intensity rain,21.85,111.9667,HUALUXE Yangjiang City Center
195,Lompoc,US,84.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
198,Bitung,ID,76.05,heavy intensity rain,1.4451,125.1824,K2 Lembeh
199,Wewak,PG,78.49,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
204,Kutum,SD,82.6,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
218,Kahului,US,83.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
219,Umm Lajj,SA,85.1,clear sky,25.0213,37.2685,Moon light Furnished Units
222,Kupang,ID,75.85,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
226,Salinopolis,BR,78.46,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
228,Kodinar,IN,84.0,overcast clouds,20.7903,70.7031,residency of N.B vadhel
230,Makakilo City,US,82.18,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
231,Buchanan,LR,77.56,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
232,Itarema,BR,79.14,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
233,Natal,BR,84.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
234,Jalu,LY,85.28,clear sky,29.0331,21.5482,صاحبة الفخامة
238,Acajutla,SV,82.36,broken clouds,13.5928,-89.8275,Laureles
239,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
243,Bowling Green,US,83.14,clear sky,36.9903,-86.4436,Hilton Garden Inn Bowling Green
244,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
257,Prescott,US,83.95,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
262,Zhoucheng,CN,79.29,clear sky,35.9122,116.3117,Yingbin Restaurant
265,Buala,SB,80.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
269,Nanakuli,US,83.61,scattered clouds,21.3906,-158.1547,Camp Pālehua
274,Santa Isabel Do Rio Negro,BR,78.66,overcast clouds,-0.4139,-65.0192,Hotel GSA
275,Palu,ID,75.22,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
279,Grand-Santi,GF,75.18,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
291,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
292,Touros,BR,78.17,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
293,Dingle,PH,76.75,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
294,Adrar,MR,87.85,light rain,20.5022,-10.0711,
299,Santa Rosa,PH,79.11,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
304,Koson,UZ,77.32,broken clouds,39.0375,65.585,Jamshid Orziev ning uyi
315,Puerto Leguizamo,CO,77.27,broken clouds,-0.1934,-74.7819,la casona de juancho
317,Phan Thiet,VN,77.41,scattered clouds,10.9333,108.1,Hotel Saigon-PT
322,Muncar,ID,76.24,overcast clouds,-8.4333,114.3333,Zaky Homestay
327,Atar,MR,86.36,overcast clouds,20.5169,-13.0499,Oumou Elghoura
331,Yanam,IN,81.36,overcast clouds,16.7333,82.2167,The Regency Hotel
332,Sinnamary,GF,79.0,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
335,Zhanaozen,KZ,75.38,few clouds,43.3,52.8,K.korabay 28A
341,Ocos,GT,89.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
342,Tambopata,PE,83.12,scattered clouds,-12.7333,-69.1833,Enashawa Lodge
344,Bartica,GY,75.9,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
346,Takoradi,GH,76.26,overcast clouds,4.8845,-1.7554,Raybow International Hotel
347,Padang,ID,76.15,overcast clouds,-0.9492,100.3543,Mercure Padang
349,Riberalta,BO,81.95,broken clouds,-10.9833,-66.1,Hotel Colonial
355,Denpasar,ID,82.06,light rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
358,Bac Lieu,VN,80.71,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
360,Port Blair,IN,81.95,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
361,Kerman,IR,79.66,clear sky,30.2832,57.0788,هتل آپارتمان آسام
367,Hambantota,LK,79.25,broken clouds,6.1241,81.1185,Bungalow 63
368,Kavaratti,IN,82.18,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
373,Pemangkat,ID,77.29,scattered clouds,1.1667,108.9667,Ramah Kost KITA
375,Cockburn Town,TC,81.64,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
377,Pimenta Bueno,BR,81.88,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
381,Nishihara,JP,80.26,few clouds,26.1842,127.7558,Minshuku Agaihama
383,Mahina,PF,82.17,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
390,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
399,Fomboni,KM,78.21,clear sky,-12.28,43.7425,Auberge les abou
405,Nicoya,CR,80.2,light rain,10.1483,-85.452,Las Cabinas Del Sueño
412,Marzuq,YE,83.23,overcast clouds,14.4,46.4667,
418,Tecoanapa,MX,86.0,broken clouds,16.5167,-98.75,Hotel Manglares
420,Tunggol,PH,79.93,broken clouds,5.8446,121.1544,
421,Bandrele,YT,76.75,clear sky,-12.9067,45.1914,Les Baobabs
423,Marsh Harbour,BS,83.88,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
424,Wilmington,US,84.9,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
427,Sidi Ali,DZ,77.5,overcast clouds,36.0998,0.4206,Complexe touristique haje bezine
433,Gallup,US,81.36,scattered clouds,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
434,Qui Nhon,VN,79.43,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
437,Samarai,PG,80.08,broken clouds,-10.6167,150.6667,Nuli Sapi
438,Dabhol,IN,78.42,overcast clouds,17.6,73.1667,Ashwamedh Resort
441,Banda Aceh,ID,78.13,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
446,Kimbe,PG,75.94,clear sky,-5.5502,150.1429,Kimbe Bay Hotel
452,Hobyo,SO,78.19,clear sky,5.3505,48.5268,Iftin hotel hobyo
453,Ciudad Bolivar,VE,84.49,broken clouds,8.1222,-63.5497,Hotel Edi
456,Virginia Beach,US,81.01,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
458,San Jose,US,86.92,few clouds,37.3394,-121.895,The Westin San Jose
461,Elat,IL,87.64,clear sky,29.5581,34.9482,Club Hotel Eilat
463,Terra Santa,BR,81.25,overcast clouds,-2.1042,-56.4869,Hotel Sarah
464,Luwuk,ID,76.01,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
468,Bludenz,AT,78.76,scattered clouds,47.1497,9.8167,VAL BLU Resort Spa & Sports
469,Lethem,GY,80.22,overcast clouds,3.3803,-59.7968,Savannah Inn
473,Chaiya,TH,77.47,overcast clouds,9.3862,99.1986,JP Place
475,Laguna,US,86.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
476,Port Moresby,PG,76.01,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
481,Korla,CN,77.07,overcast clouds,41.7597,86.1469,Gulisitan Hotel
487,Itoman,JP,80.98,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
488,Teknaf,BD,78.98,overcast clouds,20.8624,92.3058,Forestry Guesthouse
489,Miri,MY,76.06,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
492,Ternate,ID,79.57,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
494,Champerico,GT,83.05,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
496,Kilindoni,TZ,77.95,few clouds,-7.9139,39.6668,Bustani B&B
497,Puerto Suarez,BO,89.96,clear sky,-18.95,-57.8,Hotel casa real
501,Makat,KZ,77.23,overcast clouds,47.6469,53.3463,Umit
502,Huilong,CN,75.92,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
505,Bani,DO,89.04,few clouds,18.2833,-70.3333,Hospedaje Henriquez
506,Carutapera,BR,76.33,scattered clouds,-1.195,-46.02,Lidera
508,Brignoles,FR,75.76,clear sky,43.4,6.0667,Original Hôtel City la Belle Etape
510,Sibolga,ID,75.56,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
513,Oroville,US,85.06,clear sky,39.5138,-121.5564,"Holiday Inn Express & Suites Oroville Lake, an IHG Hotel"
520,Fort Nelson,CA,77.09,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
521,Conceicao Do Araguaia,BR,82.11,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
525,Yaan,NG,76.1,light rain,7.3833,8.5667,
528,Tibu,CO,85.44,overcast clouds,8.639,-72.7358,Hotel Yuliana's
529,Tambacounda,SN,80.64,broken clouds,13.7539,-13.7586,
530,Tomigusuku,JP,80.73,few clouds,26.185,127.675,Hotel Gran View Okinawa
532,Pangai,TO,79.09,light rain,-19.8,-174.35,Ha'apai Beach Resort
535,Mayo,US,80.11,clear sky,38.8876,-76.5119,Resorts Resource Group International
538,Lubartow,PL,75.63,clear sky,51.4603,22.6095,Bursa szkolna
539,Simplicio Mendes,BR,82.26,scattered clouds,-7.8539,-41.9103,Fidalgo
541,Acarau,BR,78.93,scattered clouds,-2.8856,-40.12,castelo pizzaria
548,Pilar,BR,76.93,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
549,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
554,Kailua,US,82.65,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
560,Yinchuan,CN,77.83,few clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
561,Teahupoo,PF,76.96,scattered clouds,-17.8333,-149.2667,Vanira Lodge
565,Bhinmal,IN,86.88,scattered clouds,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
571,Boca Do Acre,BR,84.45,clear sky,-8.7522,-67.3978,Hotel Sao Pedro
576,Khiri Mat,TH,77.74,overcast clouds,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
582,Akdepe,TM,78.24,overcast clouds,42.0551,59.3788,
583,Huangyan,CN,75.97,moderate rain,28.6478,121.2594,景和商务酒店
587,Sancti Spiritus,CU,85.46,broken clouds,21.9297,-79.4425,Hostal El Parque
595,Pacific Grove,US,77.34,clear sky,36.6177,-121.9166,Lovers Point Inn
600,Jizan,SA,88.54,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
602,Jacqueville,CI,78.64,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
615,Tamiahua,MX,85.55,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
624,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
627,Black River,JM,86.2,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
629,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
632,Balud,PH,79.93,broken clouds,10.1476,123.6953,Pulchra Resort
634,Santa Cruz,BO,80.06,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
641,Jibuti,DJ,83.86,moderate rain,11.5,42.5,Orchid Main Camp Goubet
643,Tabas,IR,89.37,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
646,Zaranj,AF,89.08,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
647,Najran,SA,82.35,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
648,Axim,GH,76.05,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
654,Tarauaca,BR,81.41,overcast clouds,-8.1614,-70.7656,Flat Temporada
668,Sorong,ID,77.97,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
671,Harper,LR,77.32,few clouds,4.375,-7.7169,Screensaver
673,Thinadhoo,MV,83.75,scattered clouds,0.5333,72.9333,
676,Tam Ky,VN,77.86,scattered clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
680,Domoni,KM,75.67,few clouds,-12.2569,44.5319,Al Djadid
681,Whitewater,US,82.27,scattered clouds,42.8336,-88.7323,Baymont by Wyndham Whitewater
685,Ormara,PK,82.9,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
686,Macherla,IN,86.99,overcast clouds,16.4833,79.4333,Vivek express
687,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
