City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,73,75,6.91,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,37.51,81,20,23.02,few clouds
2,Souillac,MU,-20.5167,57.5167,70.18,73,20,8.05,few clouds
3,Ushuaia,AR,-54.8,-68.3,29.86,100,100,2.3,snow
4,Guerrero Negro,MX,27.9769,-114.0611,73.38,51,0,19.1,clear sky
5,Nevsehir,TR,38.9167,34.6667,65.41,56,0,5.75,clear sky
6,Cape Town,ZA,-33.9258,18.4232,56.12,75,0,10.36,clear sky
7,Rockhampton,AU,-23.3833,150.5,55.29,88,100,1.14,overcast clouds
8,Saint George,US,37.1041,-113.5841,81.95,7,0,19.57,clear sky
9,Bredasdorp,ZA,-34.5322,20.0403,50.13,82,13,4.0,few clouds
10,Luderitz,NA,-26.6481,15.1594,56.66,68,0,10.22,clear sky
11,Busselton,AU,-33.65,115.3333,59.54,76,100,2.68,overcast clouds
12,Port Elizabeth,ZA,-33.918,25.5701,51.31,88,0,4.61,clear sky
13,Bluff,NZ,-46.6,168.3333,40.8,83,100,2.73,overcast clouds
14,Castro,BR,-24.7911,-50.0119,53.06,87,22,2.62,few clouds
15,Dikson,RU,73.5069,80.5464,38.08,82,100,14.5,light rain
16,Klaksvik,FO,62.2266,-6.589,50.92,83,86,12.77,overcast clouds
17,Zhangye,CN,38.9342,100.4517,71.91,44,100,2.93,light rain
18,Mar Del Plata,AR,-38.0023,-57.5575,51.82,73,75,10.36,broken clouds
19,Faanui,PF,-16.4833,-151.75,79.47,75,30,22.17,light rain
20,Sorland,NO,67.667,12.6934,49.86,86,77,10.31,broken clouds
21,Pyaozerskiy,RU,65.8333,31.1667,44.11,89,99,5.82,overcast clouds
22,Alice Springs,AU,-23.7,133.8833,44.15,81,100,0.0,overcast clouds
23,Saint Anthony,US,45.0205,-93.218,95.79,47,97,14.52,overcast clouds
24,Cherskiy,RU,68.75,161.3,59.59,54,99,16.33,overcast clouds
25,Torbay,CA,47.6666,-52.7314,70.57,75,75,20.71,broken clouds
26,Norman Wells,CA,65.282,-126.8329,73.44,46,20,12.66,few clouds
27,Port-Gentil,GA,-0.7193,8.7815,75.16,88,75,10.36,broken clouds
28,Lasa,IT,46.6166,10.7002,74.28,92,5,3.22,clear sky
29,Wad Rawah,SD,15.1603,33.1397,93.63,22,88,14.38,overcast clouds
30,Albany,US,42.6001,-73.9662,71.46,34,3,1.99,clear sky
31,Khatanga,RU,71.9667,102.5,45.99,54,28,6.51,scattered clouds
32,Saint-Francois,FR,46.4154,3.9054,82.67,34,0,11.5,clear sky
